,wavelength,intensity
567,256.7,44029.084
568,256.8,44460.948
569,256.9,45070.0
570,257.0,45880.487
571,257.1,46916.007
572,257.2,48200.0
573,257.3,49756.007
574,257.4,51607.986
575,257.5,53780.0
576,257.6,56294.376
577,257.7,59166.495
578,257.8,62410.0
579,257.9,66035.008
580,258.0,70037.517
581,258.1,74410.0
582,258.2,79141.89
583,258.3,84210.473
584,258.4,89590.0
585,258.5,95249.992
586,258.6,101141.064
587,258.7,107209.104
588,258.8,113400.0
589,258.9,119657.095
590,259.0,125913.554
591,259.1,132100.0
592,259.2,138145.37
593,259.3,143971.864
594,259.4,149500.0
595,259.5,154654.019
596,259.6,159373.063
597,259.7,163600.0
598,259.8,167283.0
599,259.9,170391.44
600,260.0,172900.0
601,260.1,174788.057
602,260.2,176053.771
603,260.3,176700.0
604,260.4,176735.145
605,260.5,176189.774
606,260.6,175100.0
607,260.7,173504.698
608,260.8,171453.8
609,260.9,169000.0
610,261.0,166197.914
611,261.1,163109.84
612,261.2,159800.0
613,261.3,156327.498
614,261.4,152730.979
615,261.5,149043.97
616,261.6,145300.0
617,261.7,141530.316
618,261.8,137757.037
619,261.9,134000.0
620,262.0,130274.423
621,262.1,126577.048
622,262.2,122900.0
623,262.3,119234.957
624,262.4,115571.809
625,262.5,111900.0
626,262.6,108207.973
627,262.7,104480.162
628,262.8,100700.0
629,262.9,96852.41
630,263.0,92928.283
631,263.1,88920.0
632,263.2,84823.498
633,263.3,80648.929
634,263.4,76410.0
635,263.5,72122.06
636,263.6,67807.035
637,263.7,63488.492
638,263.8,59190.0
639,263.9,54936.589
640,264.0,50759.141
641,264.1,46690.0
642,264.2,42759.811
643,264.3,38992.427
644,264.4,35410.0
645,264.5,32033.425
646,264.6,28878.559
647,264.7,25960.0
648,264.8,23289.452
649,264.9,20867.042
650,265.0,18690.0
651,265.1,16754.322
652,265.2,15051.052
653,265.3,13570.0
654,265.4,12299.558
655,265.5,11222.454
656,265.6,10320.0
657,265.7,9573.521
658,265.8,8964.392
659,265.9,8474.0
660,266.0,8084.098
661,266.1,7777.903
662,266.2,7539.0
663,266.3,7351.957
664,266.4,7205.282
665,266.5,7088.466
666,266.6,6991.0
667,266.7,6903.464
668,266.8,6820.791
669,266.9,6739.0
670,267.0,6654.663
671,267.1,6566.555
672,267.2,6474.0
673,267.3,6376.735
674,267.4,6276.138
675,267.5,6174.0
676,267.6,6072.25
677,267.7,5973.375
678,267.8,5880.0
679,267.9,5794.71
680,268.0,5719.919
681,268.1,5658.0
682,268.2,5611.245
683,268.3,5581.618
684,268.4,5571.0
685,268.5,5581.208
686,268.6,5613.789
687,268.7,5670.226
688,268.8,5752.0
689,268.9,5860.587
690,269.0,5997.439
691,269.1,6164.0
692,269.2,6361.738
693,269.3,6592.211
694,269.4,6857.0
695,269.5,7157.647
696,269.6,7495.533
697,269.7,7872.0
698,269.8,8288.378
699,269.9,8745.953
700,270.0,9246.0
701,270.1,9789.657
702,270.2,10377.508
703,270.3,11010.0
704,270.4,11687.958
705,270.5,12413.72
706,270.6,13190.0
707,270.7,14019.548
708,270.8,14905.243
709,270.9,15850.0
710,271.0,16857.555
711,271.1,17934.938
712,271.2,19090.0
713,271.3,20331.31
714,271.4,21670.309
715,271.5,23119.153
716,271.6,24690.0
717,271.7,26395.521
718,271.8,28250.441
719,271.9,30270.0
